WindDirection,WindSpeed,AirDensity,WindShear,B1Er1,B1Er2,B1Er3,B1Er4,B1Er5,B1Er6,B2Er1,B2Er2,B2Er3,B2Er4,B2Er5,B2Er6,B3Er1,B3Er2,B3Er3,B3Er4,B3Er5,B3Er6,Alpha,Shape
5.22,18.796,1.38224,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.1,11.58,1.25296,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11.46,13.076,1.19408,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.9,10.788,1.2824,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.1,8.94,1.29648,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.46,15.804,1.212,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12.06,7.972,1.41424,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.3,18.62,1.2248,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-2.94,3.836,1.4104,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-9.18,11.492,1.19152,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.7,18.708,1.38352,0.2,0.0204197584139303,0.0486200807446432,0.104399036418669,0.119206241768259,0.15293266919019,0.201750590545887,0.0204197584139303,0.0486200807446432,0.104399036418669,0.119206241768259,0.15293266919019,0.201750590545887,0.0204197584139303,0.0486200807446432,0.104399036418669,0.119206241768259,0.15293266919019,0.201750590545887,0.25,1
-7.38,9.028,1.20688,0.2,0.019796804187448,0.0508058526322922,0.101116243321726,0.138144773883287,0.143038734155684,0.245782256586311,0.019796804187448,0.0508058526322922,0.101116243321726,0.138144773883287,0.143038734155684,0.245782256586311,0.019796804187448,0.0508058526322922,0.101116243321726,0.138144773883287,0.143038734155684,0.245782256586311,0.25,1
7.98,22.14,1.1672,0.2,0.0179935156371044,0.0651955175593149,0.0769948505659309,0.107172382820169,0.177557574164961,0.189552629007661,0.0179935156371044,0.0651955175593149,0.0769948505659309,0.107172382820169,0.177557574164961,0.189552629007661,0.0179935156371044,0.0651955175593149,0.0769948505659309,0.107172382820169,0.177557574164961,0.189552629007661,0.25,1
6.66,5.948,1.1032,0.2,0.0177967932497942,0.0468896780002544,0.0878423407993063,0.13341014085453,0.184373396077621,0.198775477975588,0.0177967932497942,0.0468896780002544,0.0878423407993063,0.13341014085453,0.184373396077621,0.198775477975588,0.0177967932497942,0.0468896780002544,0.0878423407993063,0.13341014085453,0.184373396077621,0.198775477975588,0.25,1
-14.46,12.284,1.2056,0.2,0.0172066260878636,0.0485290069159912,0.0915533243001979,0.132029206221143,0.172280808813225,0.210378416999754,0.0172066260878636,0.0485290069159912,0.0915533243001979,0.132029206221143,0.172280808813225,0.210378416999754,0.0172066260878636,0.0485290069159912,0.0915533243001979,0.132029206221143,0.172280808813225,0.210378416999754,0.25,1
2.82,14.748,1.3272,0.2,0.0143213644073138,0.0478914901154269,0.0969770694168856,0.116641648877683,0.164585526008609,0.243699677787102,0.0143213644073138,0.0478914901154269,0.0969770694168856,0.116641648877683,0.164585526008609,0.243699677787102,0.0143213644073138,0.0478914901154269,0.0969770694168856,0.116641648877683,0.164585526008609,0.243699677787102,0.25,1
-7.14,3.748,1.28368,0.2,0.0149115315692445,0.0636472624722302,0.0792785327203257,0.110131528463142,0.169422560914367,0.24935239167067,0.0149115315692445,0.0636472624722302,0.0792785327203257,0.110131528463142,0.169422560914367,0.24935239167067,0.0149115315692445,0.0636472624722302,0.0792785327203257,0.110131528463142,0.169422560914367,0.24935239167067,0.25,1
6.78,15.276,1.1096,0.2,0.0208132031885507,0.0532648460058974,0.0871286901260579,0.153729607602945,0.188550835314413,0.183602403867064,0.0208132031885507,0.0532648460058974,0.0871286901260579,0.153729607602945,0.188550835314413,0.183602403867064,0.0208132031885507,0.0532648460058974,0.0871286901260579,0.153729607602945,0.188550835314413,0.183602403867064,0.25,1
-7.86,14.66,1.37072,0.2,0.0163541624095193,0.063374040986274,0.106682718573064,0.11032880483934,0.16436566078562,0.212758507055993,0.0163541624095193,0.063374040986274,0.106682718573064,0.11032880483934,0.16436566078562,0.212758507055993,0.0163541624095193,0.063374040986274,0.106682718573064,0.11032880483934,0.16436566078562,0.212758507055993,0.25,1
-4.74,15.364,1.13008,0.2,0.0164197365386227,0.0607328999553648,0.103114465206822,0.149586803702783,0.176238382827027,0.185982493923303,0.0164197365386227,0.0607328999553648,0.103114465206822,0.149586803702783,0.176238382827027,0.185982493923303,0.0164197365386227,0.0607328999553648,0.103114465206822,0.149586803702783,0.176238382827027,0.185982493923303,0.25,1
14.22,4.628,1.35792,0.2,0.0190427017027588,0.0556327655508504,0.0772803108352302,0.136172010121305,0.17096161747529,0.212460995798963,0.0190427017027588,0.0556327655508504,0.0772803108352302,0.136172010121305,0.17096161747529,0.212460995798963,0.0190427017027588,0.0556327655508504,0.0772803108352302,0.136172010121305,0.17096161747529,0.212460995798963,0.25,1
3.54,8.764,1.16208,0.2,0.0208787773176541,0.0498951143457718,0.109394591131407,0.149192250950387,0.149414825622365,0.226444024879368,0.0208787773176541,0.0498951143457718,0.109394591131407,0.149192250950387,0.149414825622365,0.226444024879368,0.0208787773176541,0.0498951143457718,0.109394591131407,0.149192250950387,0.149414825622365,0.226444024879368,0.25,1
